Geografía;Tipología penal;Periodos:;Total
CATALUÑA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2022;475.031
CATALUÑA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2023;509.521
CATALUÑA;III. TOTAL INFRACCIONES PENALES;Variación % 2023/2022;7,3
Provincia de BARCELONA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2022;363.185
Provincia de BARCELONA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2023;392.130
Provincia de BARCELONA;III. TOTAL INFRACCIONES PENALES;Variación % 2023/2022;8,0
-Municipio de Badalona;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2022;11.727
-Municipio de Badalona;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2023;11.881
-Municipio de Badalona;I. CRIMINALIDAD CONVENCIONAL;Variación % 2023/2022;1,3
-Municipio de Badalona;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2022;1
-Municipio de Badalona;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2023;3
-Municipio de Badalona;1. Homicidios dolosos y asesinatos consumados;Variación % 2023/2022;200,0
-Municipio de Badalona;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2022;9
-Municipio de Badalona;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2023;10
-Municipio de Badalona;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2023/2022;11,1
-Municipio de Badalona;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2022;120
-Municipio de Badalona;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2023;133
-Municipio de Badalona;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2023/2022;10,8
-Municipio de Badalona;4. Secuestro;enero-diciembre 2022;0
-Municipio de Badalona;4. Secuestro;enero-diciembre 2023;1
-Municipio de Badalona;4. Secuestro;Variación % 2023/2022;100,0
-Municipio de Badalona;5. Delitos contra la libertad sexual;enero-diciembre 2022;100
-Municipio de Badalona;5. Delitos contra la libertad sexual;enero-diciembre 2023;109
-Municipio de Badalona;5. Delitos contra la libertad sexual;Variación % 2023/2022;9,0
-Municipio de Badalona;5.1.-Agresión sexual con penetración;enero-diciembre 2022;39
-Municipio de Badalona;5.1.-Agresión sexual con penetración;enero-diciembre 2023;37
-Municipio de Badalona;5.1.-Agresión sexual con penetración;Variación % 2023/2022;-5,1
-Municipio de Badalona;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2022;61
-Municipio de Badalona;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2023;72
-Municipio de Badalona;5.2.-Resto de delitos contra la libertad sexual;Variación % 2023/2022;18,0
-Municipio de Badalona;6. Robos con violencia e intimidación;enero-diciembre 2022;1.462
-Municipio de Badalona;6. Robos con violencia e intimidación;enero-diciembre 2023;1.373
-Municipio de Badalona;6. Robos con violencia e intimidación;Variación % 2023/2022;-6,1
-Municipio de Badalona;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2022;840
-Municipio de Badalona;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2023;542
-Municipio de Badalona;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2023/2022;-35,5
-Municipio de Badalona;7.1.-Robos con fuerza en domicilios;enero-diciembre 2022;467
-Municipio de Badalona;7.1.-Robos con fuerza en domicilios;enero-diciembre 2023;344
-Municipio de Badalona;7.1.-Robos con fuerza en domicilios;Variación % 2023/2022;-26,3
-Municipio de Badalona;8. Hurtos;enero-diciembre 2022;3.825
-Municipio de Badalona;8. Hurtos;enero-diciembre 2023;3.969
-Municipio de Badalona;8. Hurtos;Variación % 2023/2022;3,8
-Municipio de Badalona;9. Sustracciones de vehículos;enero-diciembre 2022;251
-Municipio de Badalona;9. Sustracciones de vehículos;enero-diciembre 2023;233
-Municipio de Badalona;9. Sustracciones de vehículos;Variación % 2023/2022;-7,2
-Municipio de Badalona;10. Tráfico de drogas;enero-diciembre 2022;51
-Municipio de Badalona;10. Tráfico de drogas;enero-diciembre 2023;75
-Municipio de Badalona;10. Tráfico de drogas;Variación % 2023/2022;47,1
-Municipio de Badalona;11. Resto de criminalidad convencional;enero-diciembre 2022;5.068
-Municipio de Badalona;11. Resto de criminalidad convencional;enero-diciembre 2023;5.433
-Municipio de Badalona;11. Resto de criminalidad convencional;Variación % 2023/2022;7,2
-Municipio de Badalona;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2022;1.978
-Municipio de Badalona;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2023;2.275
-Municipio de Badalona;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2023/2022;15,0
-Municipio de Badalona;12.-Estafas informáticas;enero-diciembre 2022;1.922
-Municipio de Badalona;12.-Estafas informáticas;enero-diciembre 2023;2.224
-Municipio de Badalona;12.-Estafas informáticas;Variación % 2023/2022;15,7
-Municipio de Badalona;13.-Otros ciberdelitos;enero-diciembre 2022;56
-Municipio de Badalona;13.-Otros ciberdelitos;enero-diciembre 2023;51
-Municipio de Badalona;13.-Otros ciberdelitos;Variación % 2023/2022;-8,9
-Municipio de Badalona;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2022;13.705
-Municipio de Badalona;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2023;14.156
-Municipio de Badalona;III. TOTAL INFRACCIONES PENALES;Variación % 2023/2022;3,3
-Municipio de Barcelona;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2022;167.815
-Municipio de Barcelona;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2023;186.014
-Municipio de Barcelona;III. TOTAL INFRACCIONES PENALES;Variación % 2023/2022;10,8
Provincia de GIRONA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2022;47.273
Provincia de GIRONA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2023;48.182
