Geografía;Tipología penal;Periodos:;Total
CATALUÑA;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2015;415.464
CATALUÑA;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;403.885
CATALUÑA;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;-2,8
CATALUÑA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2015;42
CATALUÑA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;52
CATALUÑA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Variación % 2016/2015;23,8
CATALUÑA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2015;21.514
CATALUÑA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;20.152
CATALUÑA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Variación % 2016/2015;-6,3
CATALUÑA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2015;24.592
CATALUÑA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;23.661
CATALUÑA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Variación % 2016/2015;-3,8
CATALUÑA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2015;8.651
CATALUÑA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;7.976
CATALUÑA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Variación % 2016/2015;-7,8
CATALUÑA;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2015;1.953
CATALUÑA;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;2.182
CATALUÑA;6.-TRÁFICO DE DROGAS (EU);Variación % 2016/2015;11,7
CATALUÑA;7.-DAÑOS;Enero-Diciembre 2015;38.961
CATALUÑA;7.-DAÑOS;Enero-Diciembre 2016;38.365
CATALUÑA;7.-DAÑOS;Variación % 2016/2015;-1,5
CATALUÑA;8.-HURTOS;Enero-Diciembre 2015;165.519
CATALUÑA;8.-HURTOS;Enero-Diciembre 2016;162.946
CATALUÑA;8.-HURTOS;Variación % 2016/2015;-1,6
- Isla de Mallorca;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2015;47.999
- Isla de Mallorca;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;49.818
- Isla de Mallorca;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;3,8
Provincia de BARCELONA;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2015;316.947
Provincia de BARCELONA;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;311.750
Provincia de BARCELONA;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;-1,6
- Municipio de Badalona;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2015;10.974
- Municipio de Badalona;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;10.684
- Municipio de Badalona;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;-2,6
- Municipio de Badalona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2015;1
- Municipio de Badalona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;3
- Municipio de Badalona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Variación % 2016/2015;200,0
- Municipio de Badalona;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2015;1.348
- Municipio de Badalona;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;1.254
- Municipio de Badalona;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Variación % 2016/2015;-7,0
- Municipio de Badalona;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2015;518
- Municipio de Badalona;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;453
- Municipio de Badalona;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Variación % 2016/2015;-12,5
- Municipio de Badalona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2015;244
- Municipio de Badalona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;246
- Municipio de Badalona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Variación % 2016/2015;0,8
- Municipio de Badalona;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2015;33
- Municipio de Badalona;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;35
- Municipio de Badalona;6.-TRÁFICO DE DROGAS (EU);Variación % 2016/2015;6,1
- Municipio de Badalona;7.-DAÑOS;Enero-Diciembre 2015;1.161
- Municipio de Badalona;7.-DAÑOS;Enero-Diciembre 2016;1.170
- Municipio de Badalona;7.-DAÑOS;Variación % 2016/2015;0,8
- Municipio de Badalona;8.-HURTOS;Enero-Diciembre 2015;3.508
- Municipio de Badalona;8.-HURTOS;Enero-Diciembre 2016;3.109
- Municipio de Badalona;8.-HURTOS;Variación % 2016/2015;-11,4
Provincia de GIRONA;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2015;40.551
Provincia de GIRONA;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;37.505
Provincia de GIRONA;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;-7,5
- Municipio de Girona;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2015;6.828
- Municipio de Girona;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;4.935
- Municipio de Girona;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;-27,7
- Municipio de Girona;8.-HURTOS;Enero-Diciembre 2015;2.686
- Municipio de Girona;8.-HURTOS;Enero-Diciembre 2016;1.842
- Municipio de Girona;8.-HURTOS;Variación % 2016/2015;-31,4
Provincia de VALENCIA/VALÈNCIA;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2015;116.841
Provincia de VALENCIA/VALÈNCIA;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;115.017
Provincia de VALENCIA/VALÈNCIA;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;-1,6
- Municipio de Valencia;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2015;45.119
- Municipio de Valencia;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;45.119
- Municipio de Valencia;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;0,0
MADRID (COMUNIDAD DE);1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2015;365.006
MADRID (COMUNIDAD DE);1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;374.184
MADRID (COMUNIDAD DE);1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;2,5
- Municipio de Madrid;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2015;218.394
- Municipio de Madrid;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;229.909
- Municipio de Madrid;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;5,3
