Geografía;Tipología penal;Periodos:;Total
- Isla de Mallorca;TOTAL INFRACCIONES PENALES;Enero-diciembre 2016;49.815
- Isla de Mallorca;TOTAL INFRACCIONES PENALES;Enero-diciembre 2017;52.597
- Isla de Mallorca;TOTAL INFRACCIONES PENALES;Variación % 2017/2016;5,6
Provincia de BARCELONA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2016;45
Provincia de BARCELONA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2017;49
Provincia de BARCELONA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2017/2016;8,9
- Municipio de Badalona;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2016;3
- Municipio de Badalona;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2017;0
- Municipio de Badalona;1.-Homicidios dolosos y asesinatos consumados;Variación % 2017/2016;-100,0
- Municipio de Badalona;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2016;7
- Municipio de Badalona;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2017;9
- Municipio de Badalona;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2017/2016;28,6
- Municipio de Badalona;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2016;1
- Municipio de Badalona;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2017;0
- Municipio de Badalona;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2017/2016;-100,0
- Municipio de Badalona;4.-Secuestro;Enero-diciembre 2016;0
- Municipio de Badalona;4.-Secuestro;Enero-diciembre 2017;0
- Municipio de Badalona;4.-Secuestro;Variación % 2017/2016;0,0
- Municipio de Badalona;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2016;70
- Municipio de Badalona;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;59
- Municipio de Badalona;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2017/2016;-15,7
- Municipio de Badalona;5.1.-Agresión sexual con penetración;Enero-diciembre 2016;18
- Municipio de Badalona;5.1.-Agresión sexual con penetración;Enero-diciembre 2017;11
- Municipio de Badalona;5.1.-Agresión sexual con penetración;Variación % 2017/2016;-38,9
- Municipio de Badalona;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2016;52
- Municipio de Badalona;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;48
- Municipio de Badalona;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2017/2016;-7,7
- Municipio de Badalona;6.-Robos con violencia e intimidación;Enero-diciembre 2016;1.257
- Municipio de Badalona;6.-Robos con violencia e intimidación;Enero-diciembre 2017;1.263
- Municipio de Badalona;6.-Robos con violencia e intimidación;Variación % 2017/2016;0,5
- Municipio de Badalona;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2016;583
- Municipio de Badalona;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2017;557
- Municipio de Badalona;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2017/2016;-4,5
- Municipio de Badalona;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2016;454
- Municipio de Badalona;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2017;409
- Municipio de Badalona;7.1.-Robos con fuerza en domicilios;Variación % 2017/2016;-9,9
- Municipio de Badalona;8.-Hurtos;Enero-diciembre 2016;3.107
- Municipio de Badalona;8.-Hurtos;Enero-diciembre 2017;3.448
- Municipio de Badalona;8.-Hurtos;Variación % 2017/2016;11,0
- Municipio de Badalona;9.-Sustracciones de vehículos;Enero-diciembre 2016;246
- Municipio de Badalona;9.-Sustracciones de vehículos;Enero-diciembre 2017;288
- Municipio de Badalona;9.-Sustracciones de vehículos;Variación % 2017/2016;17,1
- Municipio de Badalona;10.-Tráfico de drogas;Enero-diciembre 2016;35
- Municipio de Badalona;10.-Tráfico de drogas;Enero-diciembre 2017;41
