Geografía;Tipología penal;Periodos:;Total
21042 Isla Cristina;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;834
21042 Isla Cristina;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2025;831
21042 Isla Cristina;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;-0,4
CATALUÑA;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2024;434.420
CATALUÑA;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2025;422.563
CATALUÑA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;-2,7
CATALUÑA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;510.499
CATALUÑA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2025;495.742
CATALUÑA;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;-2,9
Provincia de BARCELONA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;389.085
Provincia de BARCELONA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2025;377.960
Provincia de BARCELONA;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;-2,9
08015 Badalona;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2024;12.839
08015 Badalona;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2025;12.979
08015 Badalona;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;1,1
08015 Badalona;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2024;2
08015 Badalona;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2025;4
08015 Badalona;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;100,0
08015 Badalona;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2024;13
08015 Badalona;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2025;13
08015 Badalona;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;0,0
08015 Badalona;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2024;156
08015 Badalona;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2025;128
08015 Badalona;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;-17,9
08015 Badalona;4. Secuestro;enero-diciembre 2024;0
08015 Badalona;4. Secuestro;enero-diciembre 2025;0
08015 Badalona;4. Secuestro;Variación % 2025/2024;0,0
08015 Badalona;5. Delitos contra la libertad sexual;enero-diciembre 2024;98
08015 Badalona;5. Delitos contra la libertad sexual;enero-diciembre 2025;112
08015 Badalona;5. Delitos contra la libertad sexual;Variación % 2025/2024;14,3
08015 Badalona;5.1.-Agresión sexual con penetración;enero-diciembre 2024;49
08015 Badalona;5.1.-Agresión sexual con penetración;enero-diciembre 2025;56
08015 Badalona;5.1.-Agresión sexual con penetración;Variación % 2025/2024;14,3
08015 Badalona;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2024;49
08015 Badalona;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2025;56
08015 Badalona;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;14,3
08015 Badalona;6. Robos con violencia e intimidación;enero-diciembre 2024;1.370
08015 Badalona;6. Robos con violencia e intimidación;enero-diciembre 2025;1.350
08015 Badalona;6. Robos con violencia e intimidación;Variación % 2025/2024;-1,5
08015 Badalona;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2024;727
08015 Badalona;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2025;479
08015 Badalona;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-34,1
08015 Badalona;7.1.-Robos con fuerza en domicilios;enero-diciembre 2024;543
08015 Badalona;7.1.-Robos con fuerza en domicilios;enero-diciembre 2025;339
08015 Badalona;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-37,6
08015 Badalona;8. Hurtos;enero-diciembre 2024;3.753
