sense filtres
ref_sessio;data_sessio;resum;Proposta;resultat;part_acta;sistema votació;tema;equip_govern;ERC;BComú;PSC;JxCat;Cs;PP;BCN Canvi;Valents
CP 7/22;23/6/2022;"Nomenament de Joan Rodríguez Portell com a membre del Consell d'Administració de BSM
";Govern;aprovat_unanimitat;Part decisòria o executiva;grup;Administració i acció de govern;BComú,PSC;a_favor;a_favor;a_favor;a_favor;a_favor;a_favor;a_favor;a_favor
CP 07/22;23/6/2022;"Modificar l'Ordenança de mesures per fomentar i garantir la convivència ciutadana a l'espai públic
";Govern;rebutjat;Part decisòria o executiva;grup;Seguretat i prevenció;BComú,PSC;en_contra;en_contra;abstencio;a_favor;a_favor;a_favor;;a_favor
CP 07/22;23/6/2022;"Presentar un pla integral per evitar les ocupacions il·legals de pisos, locals i solars a la ciutat, a proposta del Grup Municipal Valents
";Grup Municipal Valents;rebutjat;Part d'Impuls i Control;grup;Seguretat i prevenció;BComú,PSC;en_contra;en_contra;en_contra;absencia;a_favor;a_favor;;a_favor
CP 06/21;23/6/2021;"Instar el Govern d’Espanya a respectar la independència judicial i no concedir l’indult als condemnats pel Tribunal Suprem, a proposta del Grup Municipal del PP, amb contingut de declaració institucional
";Grup Municipal del PP;rebutjat;Part d'Impuls i Control,Declaracions institucionals;nominal;Administració i acció de govern;BComú,PSC;;;;;;;;
CP 5/23;31/3/2023;Ratificar la modificació d'articles dels estatuts de la Fundació Manifesta 15 Barcelona;Govern;aprovat;Part decisòria o executiva;;Administració i acció de govern;BComú,PSC;a_favor;A favor;A favor;a_favor;abstencio;abstencio;;abstencio
